date,close_price
2021-10-25,40.96
2021-10-26,40.92
2021-10-27,41.83
2021-10-28,42.62
2021-10-29,42.66
2021-11-01,42.23
2021-11-02,42.62
2021-11-03,42.97
2021-11-04,42.84
2021-11-05,42.44
2021-11-08,42.75
2021-11-09,42.27
2021-11-10,42.49
2021-11-11,42.79
2021-11-12,42.75
2021-11-15,42.53
2021-11-16,42.31
2021-11-17,42.66
2021-11-18,42.23
2021-11-19,42.27
2021-11-22,43.01
2021-11-23,43.14
2021-11-24,45.62
2021-11-25,46.62
2021-11-26,45.71
2021-11-29,44.01
2021-11-30,43.05
2021-12-01,43.1
2021-12-02,43.14
2021-12-03,42.66
2021-12-06,41.53
2021-12-07,42.75
2021-12-08,42.97
2021-12-09,43.18
2021-12-10,43.53
2021-12-13,43.36
2021-12-14,43.23
2021-12-15,43.49
2021-12-16,43.14
2021-12-17,42.01
2021-12-20,43.31
2021-12-21,43.05
2021-12-22,43.24
2021-12-23,43.01
2021-12-24,44.14
2021-12-27,44.87
2021-12-28,44.98
2021-12-29,44.7
2021-12-30,44.08
2021-12-31,44.31
2022-01-04,44.42
2022-01-05,43.86
2022-01-06,44.48
2022-01-07,44.87
2022-01-10,44.7
2022-01-11,44.65
2022-01-12,44.98
2022-01-13,46.05
2022-01-14,46.89
2022-01-17,48.47
2022-01-18,49.26
2022-01-19,48.81
2022-01-20,48.97
2022-01-21,50.16
2022-01-24,52.29
2022-01-25,53.87
2022-01-26,53.14
2022-01-27,51.17
2022-01-28,50.04
2022-02-07,51.95
2022-02-08,51.73
2022-02-09,51.06
2022-02-10,51.34
2022-02-11,50.61
2022-02-14,48.36
2022-02-15,48.92
2022-02-16,48.92
2022-02-17,49.2
2022-02-18,49.03
2022-02-21,49.14
2022-02-22,48.81
2022-02-23,48.86
2022-02-24,47.96
2022-02-25,47.85
2022-02-28,47.51
2022-03-01,47.79
2022-03-02,47.79
2022-03-03,48.07
2022-03-04,47.74
2022-03-07,47.74
2022-03-08,45.83
2022-03-09,46.67
2022-03-10,46.95
2022-03-11,47.12
2022-03-14,47.34
2022-03-15,45.6
2022-03-16,46.39
2022-03-17,46.67
2022-03-18,47.34
2022-03-21,47.74
2022-03-22,47.74
2022-03-23,47.74
2022-03-24,46.95
2022-03-25,46.39
2022-03-28,46.33
2022-03-29,46.05
2022-03-30,46.11
2022-03-31,46.16
2022-04-01,46.56
2022-04-04,46.44
2022-04-05,46.67
2022-04-06,47.57
2022-04-07,46.67
2022-04-08,46.67
2022-04-12,46.33
2022-04-13,46.33
2022-04-14,45.54
2022-04-15,45.09
2022-04-18,43.69
2022-04-19,43.69
2022-04-20,44.08
2022-04-21,44.08
2022-04-22,46.22
2022-04-25,45.99
2022-04-26,45.26
2022-04-27,45.83
2022-04-28,45.83
2022-04-29,45.49
2022-05-04,44.93
2022-05-05,45.54
2022-05-06,44.65
2022-05-09,43.8
2022-05-10,44.98
2022-05-11,44.98
2022-05-12,43.3
2022-05-13,41.05
2022-05-16,41.72
2022-05-17,42.73
2022-05-18,42.4
2022-05-19,42.73
2022-05-20,42.34
2022-05-23,41.83
2022-05-24,42.51
2022-05-25,43.3
2022-05-26,43.13
2022-05-27,43.52
2022-05-30,43.86
2022-05-31,44.36
2022-06-01,45.26
2022-06-02,44.42
2022-06-03,43.58
2022-06-06,44.81
2022-06-07,45.54
2022-06-08,44.53
2022-06-09,43.75
2022-06-10,43.69
2022-06-13,42.96
2022-06-14,43.3
2022-06-15,43.01
2022-06-16,44.48
2022-06-17,42.79
2022-06-20,42.73
2022-06-21,43.69
2022-06-22,42.73
2022-06-23,42.68
2022-06-24,42.17
2022-06-27,42.11
2022-06-28,42.9
2022-06-29,42.45
2022-06-30,42.06
2022-07-01,41.61
2022-07-04,41.66
2022-07-05,41.61
2022-07-06,40.93
2022-07-07,42.45
2022-07-08,41.61
2022-07-11,40.48
2022-07-12,40.43
2022-07-13,40.37
2022-07-14,40.71
2022-07-15,40.65
2022-07-18,40.48
2022-07-19,40.09
2022-07-20,40.77
2022-07-21,40.77
2022-07-22,40.77
2022-07-25,40.99
2022-07-26,41.55
2022-07-27,42.17
2022-07-28,42.34
2022-07-29,42.0
2022-08-01,43.3
2022-08-02,44.36
2022-08-03,44.7
2022-08-04,46.39
2022-08-05,46.11
2022-08-08,46.11
2022-08-09,45.43
2022-08-10,45.26
2022-08-11,45.83
2022-08-12,45.88
2022-08-15,45.99
2022-08-16,45.83
2022-08-17,45.83
2022-08-18,45.83
2022-08-19,45.49
2022-08-22,44.98
2022-08-23,45.09
2022-08-24,46.11
2022-08-25,46.11
2022-08-26,46.39
2022-08-29,46.39
2022-08-30,48.36
2022-08-31,47.23
2022-09-05,46.44
2022-09-06,46.5
2022-09-07,44.98
2022-09-08,43.86
2022-09-09,44.31
2022-09-12,44.48
2022-09-13,44.2
2022-09-14,44.03
2022-09-15,44.53
2022-09-16,44.98
2022-09-19,44.31
2022-09-20,44.53
2022-09-21,44.36
2022-09-22,43.86
2022-09-23,42.68
2022-09-26,42.17
2022-09-27,41.78
2022-09-28,42.17
2022-09-29,41.61
2022-09-30,41.16
2022-10-03,39.7
2022-10-04,40.09
2022-10-05,40.2
2022-10-06,39.42
2022-10-07,37.5
2022-10-10,36.6
2022-10-11,34.86
2022-10-12,35.99
2022-10-13,37.39
2022-10-14,38.29
2022-10-17,37.28
2022-10-18,38.07
2022-10-19,38.18
2022-10-20,38.91
2022-10-21,38.24
2022-10-24,38.24
2022-10-25,39.3
2022-10-26,39.36
2022-10-27,40.32
2022-10-28,40.26
2022-10-31,41.33
2022-11-01,42.17
2022-11-02,41.38
2022-11-03,41.05
2022-11-04,40.37
2022-11-07,40.37
2022-11-08,40.82
2022-11-09,41.61
2022-11-10,40.93
2022-11-11,42.45
2022-11-14,42.23
2022-11-15,42.17
2022-11-16,42.23
2022-11-17,43.01
2022-11-18,43.01
2022-11-21,42.17
2022-11-22,41.33
2022-11-23,41.33
2022-11-24,41.05
2022-11-25,41.1
2022-11-28,43.13
2022-11-29,44.87
2022-11-30,45.54
2022-12-01,44.98
2022-12-02,47.79
2022-12-05,47.79
2022-12-06,44.98
2022-12-07,44.14
2022-12-08,43.3
2022-12-09,43.46
2022-12-12,43.52
2022-12-13,43.97
2022-12-14,44.31
2022-12-15,44.7
2022-12-16,44.81
2022-12-19,44.53
2022-12-20,44.42
2022-12-21,44.25
2022-12-22,44.59
2022-12-23,44.48
2022-12-26,44.36
2022-12-27,44.48
2022-12-28,44.98
2022-12-29,45.38
2022-12-30,44.98
2023-01-03,46.44
2023-01-04,46.56
2023-01-05,47.23
2023-01-06,47.23
2023-01-09,48.86
2023-01-10,49.09
2023-01-11,47.85
2023-01-12,47.68
2023-01-13,48.24
2023-01-16,49.09
2023-01-17,50.27
2023-01-18,50.61
2023-01-19,52.29
2023-01-27,52.29
2023-01-30,50.55
2023-01-31,51.67
2023-02-01,50.1
2023-02-02,50.94
2023-02-03,52.29
