ticker,industry,Rank_in_Industry,Score_industry,Score_global,ROA,DE,BV,PB,EPS,Market_Cap
GVR,Hóa chất,28,0.1660846586824548,0.1660846586824548,0.057885019,0.427872166,58400000000000.0,2.205586626,1206.666507,128800000000000.02
PMB,Hóa chất,29,0.16031612603733708,0.16031612603733708,0.051349491,0.354028464,142000000000.0,0.834090543,825.2507648,118800000000.0
VPS,Hóa chất,30,0.15995060779168355,0.15995060779168355,0.044830518,0.614140138,344000000000.0,0.664857225,1018.73787,231154484400.0
NHH,Hóa chất,31,0.1598271872006943,0.1598271872006943,0.045515121,0.422901717,1360000000000.0,0.965969997,777.7230196,1344271600000.0
PCH,Hóa chất,32,0.15951617553727324,0.15951617553727324,0.04533211,0.081535142,262000000000.0,1.899158812,505.9893261,500574892100.0
SBR,Hóa chất,33,0.159221572680117,0.159221572680117,0.04493831,0.281043336,814000000000.0,0.83,575.6792214,675588393600.0
ECO,Hóa chất,34,0.15914992902704503,0.15914992902704503,0.04475302,0.404652121,224000000000.0,3.431406194,705.3094916,774000000000.0
VNP,Hóa chất,35,0.1578150389437574,0.1578150389437574,0.040051529,0.237265145,296000000000.0,1.259232682,755.5741986,357491999200.0
VTZ,Hóa chất,36,0.1539185298968944,0.1539185298968944,0.024383778,1.951760472,817000000000.0,1.865203962,771.7662344,1530812643300.0
BT1,Hóa chất,37,0.15326563422436423,0.15326563422436423,0.031742663,1.4482856,104000000000.0,0.591930991,1431.069921,61802553100.0
PLC,Hóa chất,38,0.15009316565160108,0.15009316565160108,0.010593508,2.264874726,1250000000000.0,1.629359177,534.9214496,2108849697900.0
AAA,Hóa chất,39,0.14991955811113358,0.14991955811113358,0.023226092,1.207763111,6240000000000.0,0.508888228,812.1593527,3173566403800.0005
HCD,Hóa chất,40,0.1499180530419376,0.1499180530419376,0.037190804,0.685190354,482000000000.0,0.575259911,817.1121891,277930296320.0
AVG,Hóa chất,41,0.14979097894581617,0.14979097894581617,0.031702772,0.779459157,227000000000.0,0.771313926,724.0845449,176799820000.0
DPM,Hóa chất,42,0.1495423583522941,0.1495423583522941,0.033485799,0.480548178,11200000000000.0,1.477997966,815.1089298,16523775492300.0
PSW,Hóa chất,43,0.14929924510959178,0.14929924510959178,0.037637239,0.24956311,201000000000.0,0.651167183,556.1272508,130900000000.0
HNP,Hóa chất,44,0.14927456378622392,0.14927456378622392,0.0334102,0.430047097,131000000000.0,0.456962273,1254.672298,60000000000.0
DOC,Hóa chất,45,0.1490269267873777,0.1490269267873777,0.032825425,0.140180102,105000000000.0,0.950046836,393.9479088,100000000000.0
TPC,Hóa chất,46,0.14872006050392922,0.14872006050392922,0.024556048,0.620933764,299000000000.0,0.986323551,528.6590019,308482297200.0
VNY,Hóa chất,47,0.1484731580147735,0.1484731580147735,0.024250581,0.536336651,101000000000.0,0.89748059,232.4724565,90999826400.0
VTQ,Hóa chất,48,0.14774517727076722,0.14774517727076722,0.020044851,0.552280363,128000000000.0,1.352982902,232.2747794,172526089100.0
SFG,Hóa chất,49,0.1477275468036435,0.1477275468036435,0.018587523,1.128117611,649000000000.0,0.74873601,536.2341363,486157929950.0
RBC,Hóa chất,50,0.14581578333488415,0.14581578333488415,0.011591641,0.713681926,144000000000.0,0.418178943,285.0127073,60181848000.0
HII,Hóa chất,51,0.14368521872411835,0.14368521872411835,0.009567417,0.983774291,972000000000.0,0.433553013,250.4037302,419879191200.0
TSC,Hóa chất,52,0.1434864915523939,0.1434864915523939,0.010211324,0.193496203,2460000000000.0,0.234942748,152.5065161,572859471750.0
SEP,Hóa chất,53,0.14068736618422803,0.14068736618422803,0.007341411,6.444823778,92312443043.0,1.774408678,600.6409505,159600000000.0
PVO,Hóa chất,54,0.1396908385448433,0.1396908385448433,0.007738195,0.488825853,102000000000.0,0.541317252,131.9542487,54290000000.0
LNC,Hóa chất,55,0.13898972367094137,0.13898972367094137,0.004683636,1.89078832,84984062656.0,0.387369902,139.8084884,32920268000.0
PLP,Hóa chất,56,0.13887474014865453,0.13887474014865453,0.003689844,1.98881977,800000000000.0,0.629752914,98.06761299,511200000000.0
ABS,Hóa chất,57,0.13786032690790875,0.13786032690790875,0.002431534,0.092957959,916000000000.0,0.261894765,30.44235099,240000000000.0
DHB,Hóa chất,58,0.137807285296357,0.137807285296357,0.001095676,9.102097058,618000000000.0,3.521047742,25.14848129,2177600000000.0
HPH,Hóa chất,59,0.12066207777322036,0.12066207777322036,-0.045439505,0.110085818,96080435681.0,0.91798085,-576.9601594,88200000000.0
APP,Hóa chất,60,0.11340671558697939,0.11340671558697939,-0.105287269,0.424012266,39243929934.0,0.601957043,-1245.357663,23623160000.0
GER,Hóa chất,61,0.11250545405081248,0.11250545405081248,-0.123720787,0.437171004,20626955216.0,0.341300979,-1667.107342,7040000000.0
VET,Hóa chất,62,0.10416831870313105,0.10416831870313105,-0.047593453,1.77008783,300000000000.0,0.825728221,-2474.772724,252800000000.0
QBS,Hóa chất,63,0.09727017803833557,0.09727017803833557,-0.419650878,0.100930561,304000000000.0,0.136822154,-2026.016094,41597956800.0
VXP,Hóa chất,64,0.08941260044686701,0.08941260044686701,-0.14458741,3.255013889,24018856937.0,4.586396442,-4104.698813,110160000000.0
SPC,Hóa chất,65,0.08694651358515874,0.08694651358515874,-0.106759977,2.676505733,123000000000.0,0.669000817,-4576.27034,74763000000.0
RDP,Hóa chất,66,0.08411605188061907,0.08411605188061907,-0.068414885,5.235982247,344000000000.0,0.186942552,-2989.637966,64281441930.0
DAG,Hóa chất,67,0.0,0.0,-0.420687416,16.98737291,80183044133.0,1.075653601,-10059.83508,86249180160.0
HGM,Khai khoáng,1,1.0,0.32876067790397173,0.431095653,0.238081147,343000000000.0,8.804850819,14536.16789,2998800000000.0
KSV,Khai khoáng,2,0.8583821668464439,0.29337065354336533,0.126825804,1.39709833,4010000000000.0,7.729550698,6096.364452,30200000000000.0
BCB,Khai khoáng,3,0.5126311572189137,0.20696814066100186,0.070284405,2.64372687,78199821641.0,0.116624307,3513.465508,9120000000.0
CLM,Khai khoáng,4,0.4842198752703686,0.19986821589951487,0.110383074,0.788129522,754000000000.0,1.006562614,13530.37246,759000000000.0
BKC,Khai khoáng,5,0.4627978632386488,0.194514896259087,0.121175977,0.822031364,235000000000.0,2.568098319,2209.499226,600971673600.0
BMC,Khai khoáng,6,0.4429270325230465,0.18954921384867943,0.099369434,0.085503732,237000000000.0,0.8504634,2061.018431,201380237500.0
TMB,Khai khoáng,7,0.4201850244880018,0.1838660297436335,0.049387377,3.784007548,845000000000.0,0.949693073,13310.00835,817500000000.0
HLC,Khai khoáng,8,0.41422018013906725,0.18237542660336986,0.05419053,2.795993902,426000000000.0,0.822349557,3452.005912,363437345700.0
MDC,Khai khoáng,9,0.4051074057461319,0.18009816179443155,0.044955215,2.506016414,338000000000.0,0.626714984,2489.769504,216325294600.0
CST,Khai khoáng,10,0.4008884096570359,0.1790438427793361,0.049038721,1.476558379,1070000000000.0,0.508276263,3034.531147,544154017100.0
LMC,Khai khoáng,11,0.39707678397329416,0.1780913248457022,0.096825438,0.060339267,27036127670.0,0.327339777,1850.493425,7950000000.0
KHD,Khai khoáng,12,0.392494113946166,0.17694612441235824,0.09194484,0.452011431,42099914823.0,1.21677782,1722.605242,51226242600.0
TVD,Khai khoáng,13,0.3897173432549955,0.17625221475270553,0.038560579,2.647457128,678000000000.0,0.670015166,2120.169017,454124926400.0
MVB,Khai khoáng,14,0.3877365372089897,0.17575721512828835,0.084386739,0.526666452,2070000000000.0,1.008110166,2543.10007,1890000000000.0
VDB,Khai khoáng,15,0.374672202555695,0.1724924630039292,0.030256594,7.894072773,128000000000.0,0.061121617,3962.491884,7810414200.0
AMC,Khai khoáng,16,0.3682974344695304,0.17089942070947492,0.060611295,0.930283265,52881314110.0,0.700625554,2170.860842,37050000000.0
MIC,Khai khoáng,17,0.36656540794425296,0.17046659060921263,0.05984041,0.898214123,91861882878.0,1.251249315,1216.468045,104648794000.0
ATG,Khai khoáng,18,0.3631975125666259,0.16962496002636818,0.037632932,50.8622599,164970538.0,848.7818595,21.15491216,140024000000.0
KCB,Khai khoáng,19,0.32426953432029926,0.1598969330698135,0.046859989,0.224963997,98213460306.0,1.156664266,704.7036739,116000000000.0
MTA,Khai khoáng,20,0.32087344866251816,0.15904825779013135,0.042027804,0.698431818,1240000000000.0,1.331538573,804.1226973,1607658428600.0
NBC,Khai khoáng,21,0.31988983494538276,0.15880245461241213,0.014431718,3.891521303,525000000000.0,0.619651648,1002.529262,329292203600.0
THT,Khai khoáng,22,0.3190845059833741,0.1586012044523925,0.01431457,3.249368796,369000000000.0,0.53325553,912.5514217,196552416000.0
VPG,Khai khoáng,23,0.31473188138405217,0.15751349192938313,0.01286722,4.279588685,1600000000000.0,0.272123888,1230.736506,420858974760.0
TD6,Khai khoáng,24,0.3055906607097486,0.15522911844939558,0.026709282,2.211199495,730000000000.0,0.602458786,1010.788995,433546414000.0
YBM,Khai khoáng,25,0.30296245126900145,0.15457233396073616,0.021376557,2.330917757,187000000000.0,1.107411256,745.8486875,194833630500.0
BMJ,Khai khoáng,26,0.2809009828695175,0.14905921540283595,0.029482159,0.35409662,1220000000000.0,0.863516787,462.3151774,1049999780000.0
VIM,Khai khoáng,27,0.2795571628845814,0.14872339737099535,0.021776879,0.962738613,23264311815.0,0.526557592,795.4965536,13000000000.0
MGC,Khai khoáng,28,0.27189879765250735,0.14680958661644408,0.012605971,1.186638228,111000000000.0,1.288571557,284.509218,141480000000.0
VBG,Khai khoáng,29,0.26940930562482646,0.1461874673427391,0.011760326,1.069741626,88570469189.0,0.466069564,250.683647,41280000000.0
HPM,Khai khoáng,30,0.2641797254821551,0.14488060531467656,0.010351513,0.613052568,38718159403.0,0.726274194,170.1309992,28120000000.0
LCM,Khai khoáng,31,0.2586009960590755,0.1434864915523939,0.009847819,0.37374924,124000000000.0,0.178815459,68.09025328,22169700000.0
AAH,Khai khoáng,32,0.24855841997943365,0.14097687108873097,0.00820843,0.221614586,1190000000000.0,0.346424074,101.3104582,424440000000.0
DHM,Khai khoáng,33,0.236369131165751,0.13793079123813087,0.002831667,1.758616482,355000000000.0,0.598851749,80.35166591,212739905840.0
SHN,Khai khoáng,34,0.23572662057012578,0.1377702290749853,0.001586777,2.511888005,1590000000000.0,0.398183505,68.57557432,622114305600.0
ACM,Khai khoáng,35,0.1958938183999002,0.1278160883586323,-0.018464992,0.604761143,333000000000.0,0.07661719,-193.3763318,25500000000.0
MSR,Khai khoáng,36,0.1313404730883552,0.111684331416291,-0.058835854,1.216968634,12200000000000.0,2.32376939,-1442.585984,28925516376000.0
SPI,Khai khoáng,37,0.11720428278885522,0.10815172462571103,-0.177796194,1.127981518,118000000000.0,0.255505704,-2665.398911,30267000000.0
SQC,Khai khoáng,38,0.11570668810968553,0.10777747859328755,-0.122728741,0.043918479,601000000000.0,0.219581444,-700.1618975,132000000000.0
MIM,Khai khoáng,39,0.0,0.07886259958615859,-0.143991397,5.662284234,14476374370.0,0.989295499,-4072.705063,14321412000.0
TNS,Kim loại,1,1.0,0.21182196327954844,0.109804898,4.714431327,78846446746.0,0.811704302,2473.699039,64000000000.0
TMG,Kim loại,2,0.9568656309493142,0.20337211248836393,0.123009495,1.175417165,266000000000.0,4.736029044,3960.817632,1261800000000.0
DFC,Kim loại,3,0.8763402144543267,0.18759750469287056,0.079523808,1.028192358,248000000000.0,1.308676952,3512.519291,324900000000.0
VGL,Kim loại,4,0.8753360031577527,0.1874007837066681,0.117085565,0.30908497,119000000000.0,1.497190655,1955.363269,178110460500.0
TKU,Kim loại,5,0.855071591614992,0.18343106634030815,0.048855362,0.974019548,546000000000.0,0.182186403,7252.175191,101580416000.0
NHV,Kim loại,6,0.841353318219343,0.18074371131791986,0.08697327,0.05405521,57482967773.0,0.066734174,961.6098514,3836078400.0
KTL,Kim loại,7,0.8254752184833654,0.17763325493315385,0.047834333,1.014659709,431000000000.0,0.378435675,6366.333201,143429000000.0
KKC,Kim loại,8,0.8221171193795235,0.17697541671750427,0.087992409,0.661409561,47143938738.0,0.739013348,1325.392271,34840000000.0
VGS,Kim loại,9,0.7962785310512112,0.171913740359783,0.047071703,1.152072276,1080000000000.0,1.418155465,1785.800444,1624237692000.0
BVG,Kim loại,10,0.7915462492007888,0.17098670522705825,0.077696453,0.238685782,44418964738.0,0.592709888,438.4135191,26327559600.0
HPG,Kim loại,11,0.774999621146688,0.1677452868121955,0.053543763,0.958087092,115000000000000.0,1.754048532,1566.031802,211075311012500.0
HMG,Kim loại,12,0.7449786480280033,0.1618642979617276,0.029038909,2.628171295,107000000000.0,0.964779371,1255.850414,103500000000.0
KMT,Kim loại,13,0.7290508586599915,0.15874410757630747,0.013518652,4.719426929,139000000000.0,0.63891259,1089.148189,88619058000.0
SHI,Kim loại,14,0.7152372122035716,0.15603806935185205,0.011463401,3.496717436,2100000000000.0,1.133882128,636.4571933,2349704044200.0
GDA,Kim loại,15,0.7130834302625624,0.15561615206318388,0.026413962,2.391509938,3820000000000.0,0.617482801,2292.233522,2385581616000.0
NKG,Kim loại,16,0.701030824035035,0.15325509459302974,0.033508786,1.30252928,5870000000000.0,1.128187761,1012.148385,6959727199550.0
HMC,Kim loại,17,0.7004944048744672,0.1531500122197834,0.018806805,2.363133849,404000000000.0,0.783386544,936.5717739,318044988350.0
SSM,Kim loại,18,0.6994960891086401,0.1529544461445311,0.038251406,0.85371602,64159395182.0,0.445847794,827.0034615,25854812800.0
HSG,Kim loại,19,0.6833331889253037,0.1497881984884794,0.029133373,0.780549491,11100000000000.0,0.87114101,928.925662,10122011636700.0
VDT,Kim loại,20,0.6801241079916834,0.1491595523377947,0.036676559,0.16374028,26859227560.0,0.534181855,583.28174,14347712000.0
TVN,Kim loại,21,0.6778662263019538,0.14871724232370956,0.012343031,1.677259668,9380000000000.0,0.570948202,457.2383954,5763000000000.0
MEL,Kim loại,22,0.6765794926585962,0.1484651763370345,0.011116291,1.811931094,259000000000.0,0.370227708,540.3506094,96000000000.0
SHA,Kim loại,23,0.671435431801634,0.14745747533992407,0.012748916,1.48333234,426000000000.0,0.331999106,384.3051633,140474528000.0
TTS,Kim loại,24,0.6587647629390364,0.14497534186562547,0.00870905,3.221429767,305000000000.0,0.748870145,220.9206562,228600000000.0
