date,close_price
2021-10-25,70.59
2021-10-26,70.2
2021-10-27,70.82
2021-10-28,70.98
2021-10-29,71.06
2021-11-01,70.51
2021-11-02,69.88
2021-11-03,69.1
2021-11-04,69.26
2021-11-05,69.88
2021-11-08,71.14
2021-11-09,70.35
2021-11-10,70.28
2021-11-11,70.2
2021-11-12,69.96
2021-11-15,69.73
2021-11-16,69.41
2021-11-17,69.57
2021-11-18,68.94
2021-11-19,67.46
2021-11-22,67.53
2021-11-23,67.61
2021-11-24,68.55
2021-11-25,68.55
2021-11-26,69.18
2021-11-29,68.55
2021-11-30,68.63
2021-12-01,68.55
2021-12-02,68.47
2021-12-03,67.22
2021-12-06,66.83
2021-12-07,67.77
2021-12-08,67.38
2021-12-09,68.16
2021-12-10,67.61
2021-12-13,67.69
2021-12-14,67.61
2021-12-15,67.61
2021-12-16,67.85
2021-12-17,67.14
2021-12-20,67.14
2021-12-21,66.98
2021-12-22,66.91
2021-12-23,66.36
2021-12-24,67.38
2021-12-27,67.46
2021-12-28,66.98
2021-12-29,66.75
2021-12-30,66.83
2021-12-31,67.69
2022-01-04,67.93
2022-01-05,67.53
2022-01-06,66.91
2022-01-07,66.75
2022-01-10,66.67
2022-01-11,66.67
2022-01-12,66.19
2022-01-13,66.19
2022-01-14,67.46
2022-01-17,66.03
2022-01-18,66.43
2022-01-19,66.43
2022-01-20,66.11
2022-01-21,65.79
2022-01-24,64.52
2022-01-25,63.08
2022-01-26,63.48
2022-01-27,66.19
2022-01-28,66.19
2022-02-07,66.51
2022-02-08,65.31
2022-02-09,65.95
2022-02-10,65.87
2022-02-11,65.31
2022-02-14,64.6
2022-02-15,64.68
2022-02-16,64.04
2022-02-17,64.36
2022-02-18,64.2
2022-02-21,64.52
2022-02-22,63.72
2022-02-23,63.72
2022-02-24,62.61
2022-02-25,62.84
2022-02-28,62.45
2022-03-01,63.08
2022-03-02,62.53
2022-03-03,62.45
2022-03-04,62.05
2022-03-07,61.17
2022-03-08,60.61
2022-03-09,59.82
2022-03-10,61.41
2022-03-11,62.13
2022-03-14,61.49
2022-03-15,61.49
2022-03-16,61.57
2022-03-17,60.85
2022-03-18,60.53
2022-03-21,61.81
2022-03-22,61.25
2022-03-23,60.61
2022-03-24,60.22
2022-03-25,59.9
2022-03-28,58.46
2022-03-29,60.14
2022-03-30,60.69
2022-03-31,64.44
2022-04-01,65.08
2022-04-04,65.47
2022-04-05,64.04
2022-04-06,63.16
2022-04-07,62.53
2022-04-08,61.57
2022-04-12,61.17
2022-04-13,61.49
2022-04-14,60.77
2022-04-15,60.93
2022-04-18,61.33
2022-04-19,60.53
2022-04-20,60.22
2022-04-21,59.74
2022-04-22,60.46
2022-04-25,58.54
2022-04-26,60.46
2022-04-27,59.74
2022-04-28,59.18
2022-04-29,59.1
2022-05-04,57.75
2022-05-05,57.43
2022-05-06,55.92
2022-05-09,55.76
2022-05-10,56.23
